id,Name,Author,Status
590,格兰蒂亚,细江ひろみ,1
591,波罗的海复仇记,田中芳树,1
592,封闭的世界,谷川流,1
593,白人萠乃与世界危机,七月隆文,1
594,风水学园,夏绿,1
595,叛红猎杀,在原竹广,1
596,绅士游戏,赤城毅,1
597,战争时代·下课后防卫队,柿沼秀树,1
598,在暗夜中寻找羔羊,穗史贺雅也,1
599,英国奇异谭,篠原美季,1
600,樱乃绮罗帆系列,月见草平,1
601,勇者物语,宫部美雪,1
602,女仆刑事,早见裕司,1
603,寄生前夜,濑名秀明,1
604,光之战士,卫藤乱星,1
605,海贼王剧场小说,滨崎达也,1
606,拔刀狂想曲,宫泽周,1
607,月之少女,渡边まさき,1
608,战姬,夏绿,1
609,隔邻的魔法师,筱崎砂美,1
610,快打城市slum online,樱坂洋,1
611,NANA,矢泽爱,1
612,便当(半价便当争夺战),朝浦,1
613,幻影父亲,深泽美潮,1
614,除爆之刃,照下土龙,1
615,潜水艇,水城正太郎,1
616,梦幻不思议卷轴·七宝绮谭,津守时生,1
617,超时空要塞 边界,小太刀右京,1
618,蒸汽男孩,村井さだゆき,1
619,秋叶少年,将吉,1
620,郭德堡变奏曲,五代ゆぅ,1
621,Type Moon DRAMA CD,奈须蘑菇,1
622,尸人狩猎者,葛西伸哉,1
623,汪汪地狱犬,芜木统文,1
625,寂静岭官方小说,山下定,1
626,欢迎光临日本上空,佐佐原史绪,1
627,虎跃龙笑,嬉野秋彦,1
628,烟囟町的赤魔与绝望少年,ゆうきりん,1
629,魔壶妖精,鲷津裕太,1
630,至死方休的纠缠,前田荣,1
631,伊佐与雪,友谷苍,1
632,交响乐之雨 妖精之书,西川真音,1
633,最终幻想XIII官方前传小说,映岛巡,1
634,战国BASARA2,安曾了,1
635,D.C.F.S.初音岛四季的回忆,佐佐宫ちるだ,1
636,火影忍者官方小说,日下部匡俊,1
637,樱兰高中男公关部,土井佐智子,1
638,CLANNAD Q版小说,合作,1
639,猎捕史奈克,宫部美雪,1
640,赤朽叶家的传说,樱庭一树,1
641,荒野,樱庭一树,1
642,深宫幽情,冰室冴子,1
643,PiPit!!天线少女,和智正喜,1
644,Gift 永恒的彩虹,驹尾真子,1
645,烙印纹章,杉原智则,1
647,圣诞节的恐怖分子,佐藤友哉,1
648,造梦同人志 他的爱情、她的欲望,坂东真红郎,1
650,青之炎,贵志佑介,1
651,棋魂,堀田由美,1
652,晴空之下，突然……,田中芳树,1
653,世纪末冒险,高圆寺葵子,1
654,铁刃沙斩,大迫纯一,1
655,simoun 祈舞,冈崎纯子,1
656,白银的卡露,竹内なおゆき,1
657,舞-HiME★DESTINY 龙之巫女,伊吹秀明,1
658,我们在虚空中巡视夜晚,上远野浩平,1
659,异次元流浪者,眉村卓,1
660,我们在虚梦中倾听月色,上远野浩平,1
661,少女大神!,比嘉智康,1
662,炼狱神盾,贵子润一郎,1
663,最终幻想VII,野岛一成,1
664,黑执事官方小说,枢梁,1
665,8.1 云霄飞车,山田悠介,1
666,萤火虫之墓,野坂昭如,1
667,野花——在那花不开的世界,驹尾真子,1
668,深红色的迷宫,贵志佑介,1
669,波上的魔术师,石田衣良,1
670,圣战的雷吉欧斯,雨木秀介,1
671,雷吉欧斯传说,雨木秀介,1
672,驱魔少年,城崎火也,1
673,女神侧身像2 希尔梅丽娅(北欧女神2),梅村崇,1
674,CLANNAD SSS,歌鸟,1
675,CLANNAD After Story,key,1
676,CLANNAD,Key,1
677,神明大人会把笑心○○○？,荒川工,1
678,起死回生的女孩,筱原千绘,1
679,绝望的世界,宫谷俊二,1
680,绝境行星,柿沼秀树,1
681,超级机器人大战OG,TRISTAR株式会社,1
682,黑姬柚叶,田口一,1
683,Tales of Vesperia 宵星传奇(薄暮传说),矢岛沙罗,1
684,金田一少年事件簿,天树征丸,1
685,PSYCHE,唐边叶介,1
686,Sweet☆Line-甜蜜☆阵线,有泽真水,1
687,小春原日和的育成日记,五十岚雄策,1
688,世界的中心、针山先生,成田良悟,1
689,新罗德斯岛战记,水野良,1
690,机巧少女不会受伤,海冬零儿,0
691,某科学的超电磁炮,镰池和马,1
692,织田信奈的野望,春日御影,1
693,Fortune Arterial(命运脉动),冈田留奈,1
694,火车,宫部美雪,1
695,拉琪雅,周防司,1
696,好想告诉你,下川香苗,1
697,翼之归处,妹尾由布子,1
698,SUGAR DARK 被埋葬的黑暗与少女,新井円侍,0
699,越佐大桥,成田良悟,1
701,日本沉没,小松左京,1
702,奴隶市场,菅沼恭司,1
703,魔神的游戏,岛田庄司,1
704,神曲奏界 红S,榊一郎,1
706,迷茫管家与胆怯的我(迷茫管家与懦弱的我),朝野始,0
707,天川天音的否定公式,叶村哲,1
708,茸姬,入间人间,1
709,影执事马克(影管家马尔科),手岛史词,1
710,小学星公主,饼月望,1
711,华鬼,梨沙,1
712,罪人与龙共舞,浅井ラボ,1
713,我心之剑,十文字青,1
715,自转地球仪世界,田中芳树,1
716,平行恋人,静月远火,0
717,永远的艾塞莉娅,三田村半月,1
718,机动战士高达 闪光的哈萨维,富野由悠季,1
719,高达前哨战,高桥昌也,1
720,猫娘姐妹,伏见司,1
721,魔碟军团,广冈未森,1
722,青花传说,八原ゆうき,1
723,反抗者的系谱,三浦良,1
724,东京少年,渡边睦月,1
725,模仿犯,宫部美雪,1
726,光之圣少女,光之圣少女制作委员会,1
727,占星术杀人魔法,岛田庄司,1
728,马法尔年代记,田中芳树,1
729,继父,宫部美雪,1
730,EVER17 时空轮回,KID,1
731,天是红河岸,筱原千绘,1
732,死魂曲,sony,1
733,阴月的箭蔟,时海结以,1
735,机动战士高达-第08MS小队,大河内一楼,1
736,恐怖分子的阳伞,藤原伊织,1
737,旺达与巨像,上田文人,1
738,魔法律事务所,天羽沙夜,1
739,妖藩记鬼剑众,菊地秀行,1
740,少女星泉奇遇,赤川次郎,1
741,电车男,中野独人,1
742,装甲核心,神野淳一,1
743,Never7(第七夜～无限轮回的终结～),KID,1
744,火焰之纹章,Intelligent Systems,1
